Name,Age,Gender,Qualification,Marks,Roll no,Phn no,Email,Address,Grade,Dept name,Dept id,Attendance,Dob,Target
ajitha,19,F,BE,50,1,9378787039,aji@gmail.com,yyyyyy,C,CSE,104,89,14-03-2006,0
anu,19,F,BE,70,2,8965042478,anu@gmail.com,yyyyyy,A,CSE,104,73,18-09-2006,0
archana,20,F,BE,80,3,6768349091,archu@gmail.com,xxxxxx,A,CSE,104,56,29-04-2005,0
ashwini,19,F,BE,95,4,7889849390,ash@gmail.com,xxxxxx,O,CSE,104,42,30-09-2004,0
aparna,20,F,BE,75,5,5638989956,aparna@gmail.com,yyyyyy,A,CSE,104,10,06-04-2005,0
archana priya,20,F,BE,90,6,9497828072,archp@gmail.com,zzzzzz,O,CSE,104,96,09-08-2006,0
archana,21,F,BE,83,7,9898565789,arch2@gmail.com,AAAAAA,A,CSE,104,78,14-09-2004,0
kushi,18,F,BE,94,8,7124797407,kushi@gmail.com,CCCCCC,O,CSE,104,87,28-02-2006,0
deepika,19,F,BE,85,9,6838929302,deeps@gmail.com,BBBBBBB,A,CSE,104,56,20-02-2006,0
dhanalakshmni,21,F,BE,90,10,6739202003,dhana@gmail.com,xxxxxx,O,CSE,104,94,31-04-2006,0
divya,18,F,BE,96,11,6579039024,divya@gmail.com,yyyyyy,O,CSE,104,23,07-03-2005,0
dhanusri,19,F,BE,85,12,9898764534,dhanur@gmail.com,zzzzzz,A,CSE,104,90,09-05-2006,0
hema,19,F,BE,70,13,7878895632,hema@gmail.com,AAAAAA,B,CSE,104,100,27-04-2006,0
leelasri,19,F,BE,51,14,6783939026,leel@gmail.com,CCCCCC,C,CSE,104,50,06-11-2004,0
indhu,21,F,BE,59,15,8689727874,indu@gmail.com,AAAAAA,B,CSE,104,20,25-12-2006,0
ilakkiya,21,F,BE,48,16,5683498498,lak@gmail.com,yyyyyy,C,CSE,104,30,19-07-2005,0
isha,20,F,BE,69,17,8938589489,ish@gmail.com,CCCCCC,B,CSE,104,96,25-12-2004,0
ishu,22,F,BE,72,18,9190484658,ishu@gmail.com,DDDDDD,B,CSE,104,70,20-09-2007,0
